序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
2981,603073,彩蝶实业,18.61,0.05,0.01,13935.0,25940696.0,2.31,18.76,18.33,18.52,18.6,0.77,4.81,30.41,1.75,2158760000.0,539690000.0,-0.48,-0.48,-6.25,-6.25
2982,301045,天禄科技,19.39,0.05,0.01,4556.0,8808606.6,2.63,19.6,19.09,19.5,19.38,0.73,0.88,118.28,2.33,2000162730.0,1001431084.0,-0.05,-0.41,6.89,19.4
2983,688157,松井股份,78.19,0.05,0.04,3662.0,28666090.0,2.16,78.98,77.29,78.48,78.15,0.6,1.04,514.09,4.98,6240482765.0,2744295105.0,0.12,-0.2,-23.5,-10.64
2984,301266,宇邦新材,58.86,0.05,0.03,11103.0,65532791.36,4.13,60.44,58.01,58.82,58.83,0.75,4.27,42.36,4.32,6121440000.0,1530360000.0,0.0,0.0,-25.51,-22.14
2985,003025,思进智能,20.78,0.05,0.01,10809.0,22356648.58,2.55,20.98,20.45,20.67,20.77,0.37,1.39,32.95,3.29,3391123526.0,1611635374.0,-0.05,0.34,-7.15,0.0
2986,300475,香农芯创,21.03,0.05,0.01,32761.0,68845512.38,4.04,21.45,20.6,20.71,21.02,1.01,0.74,28.16,4.08,9622608080.0,9291385580.0,0.05,0.14,14.54,27.22
2987,300999,金龙鱼,43.46,0.05,0.02,129973.0,567217119.32,2.74,44.2,43.01,43.3,43.44,1.79,2.4,68.97,2.62,235622368155.0,23583442836.0,0.07,0.05,-2.99,-0.23
2988,001222,源飞宠物,21.9,0.05,0.01,4417.0,9642603.0,1.87,22.03,21.62,21.9,21.89,0.33,1.3,35.25,2.56,2986065000.0,746790000.0,-0.05,0.0,-18.04,-11.66
2989,688658,悦康药业,21.92,0.05,0.01,38241.0,84120604.0,4.79,22.36,21.31,21.72,21.91,0.92,1.87,28.92,2.42,9864000000.0,4484829370.0,-0.23,0.05,13.87,13.46
2990,300530,达志科技,22.21,0.05,0.01,2876.0,6369038.17,3.06,22.6,21.92,22.08,22.2,0.54,0.24,-21.3,11.09,3813462641.0,2620972849.0,0.14,0.14,-15.29,-7.65
