序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
4649,300639,凯普生物,14.26,-2.66,-0.39,42719.0,61494514.56,2.59,14.63,14.25,14.5,14.65,1.1,0.99,23.98,1.27,6267498388.0,6159108513.0,-0.07,0.07,-20.6,-15.37
4650,300884,狄耐克,13.49,-2.67,-0.37,32810.0,44806170.1,3.68,13.95,13.44,13.85,13.86,1.18,2.26,61.62,2.52,3399480000.0,1955858955.0,0.22,0.3,20.66,37.37
4651,002988,豪美新材,16.03,-2.67,-0.44,13150.0,21337420.76,3.46,16.59,16.02,16.46,16.47,1.05,1.56,44.1,1.78,3731318393.0,1347118127.0,0.0,0.06,-9.99,20.07
4652,600753,庚星股份,10.18,-2.68,-0.28,18698.0,19301838.0,3.44,10.51,10.15,10.36,10.46,1.24,0.87,-91.45,8.37,2344527042.0,2189107200.0,0.1,-0.1,-28.71,-27.75
4653,600004,白云机场,15.26,-2.68,-0.42,105864.0,162085669.0,3.32,15.69,15.17,15.69,15.68,1.09,0.45,201.87,2.1,36116120999.0,36116120999.0,0.13,0.07,7.16,1.67
4654,301299,卓创资讯,50.08,-2.68,-1.38,7058.0,35720003.49,4.66,51.9,49.5,50.61,51.46,1.12,4.71,44.26,4.54,3004800000.0,751200000.0,0.02,0.1,-3.88,2.0
4655,002366,*ST海核,5.08,-2.68,-0.14,73756.0,37669680.31,3.45,5.22,5.04,5.2,5.22,1.27,0.82,-241.71,2.32,10571163211.0,4559524495.0,0.2,0.0,-1.74,-1.17
4656,300680,隆盛科技,18.83,-2.69,-0.52,21421.0,40943696.0,3.88,19.48,18.73,19.35,19.35,1.52,1.48,26.88,2.56,4350187155.0,2731438732.0,0.11,0.11,-28.21,-23.95
4657,002724,海洋王,8.69,-2.69,-0.24,22903.0,20116584.53,3.25,8.96,8.67,8.89,8.93,1.82,0.94,173.2,2.32,6776720319.0,2110729838.0,0.0,-0.11,-10.96,7.55
4658,605088,冠盛股份,15.55,-2.69,-0.43,29382.0,46084345.0,3.32,16.0,15.47,15.8,15.98,1.35,3.74,23.0,1.49,2578112250.0,1223015275.0,0.13,0.26,-22.02,-9.49
4659,000062,深圳华强,11.92,-2.69,-0.33,49438.0,59290755.0,2.61,12.19,11.87,12.19,12.25,1.61,0.47,24.87,1.84,12467239118.0,12451006498.0,0.0,0.0,-3.79,0.08
4660,003028,振邦智能,38.98,-2.7,-1.08,4268.0,17052292.0,4.79,40.72,38.8,39.65,40.06,0.8,1.52,47.56,3.05,4343571337.0,1092242130.0,0.18,-0.05,-28.95,-7.65
4661,300726,宏达电子,40.04,-2.7,-1.11,16552.0,66667105.19,2.58,40.98,39.92,40.86,41.15,1.34,0.78,28.45,3.58,16490067394.0,8551429807.0,0.0,0.02,-16.32,-9.29
4662,002642,荣联科技,6.84,-2.7,-0.19,136650.0,94283685.75,3.98,7.08,6.8,6.99,7.03,1.5,2.26,526.44,3.01,4544361341.0,4137077556.0,0.29,0.29,-25.16,-8.43
4663,300616,尚品宅配,20.87,-2.7,-0.58,23822.0,49819100.75,3.92,21.39,20.55,21.25,21.45,1.37,1.83,-10.88,1.19,4146347250.0,2715714218.0,0.05,0.24,-6.95,6.26
